Country / Territory,Year,Date of Event,Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
Brazil,2019,2019-12-31,6,Weather related,Mass Movement,Avalanche
Afghanistan,2019,2019-04-05,7,Weather related,Storm,Storm
United States,2019,2019-05-08,192,Weather related,Storm,Tornado
Canada,2019,2019-05-20,11000,Weather related,Wildfire,Wildfire
Brazil,2019,2019-07-04,78,Weather related,Storm,Storm
Brazil,2019,2019-12-20,32,Weather related,Mass Movement,Avalanche
Brazil,2019,2019-10-27,231,Weather related,Flood,Flood
Brazil,2019,2019-08-22,24,Weather related,Storm,Storm
Brazil,2019,2019-10-27,3372,Weather related,Storm,Storm
Brazil,2019,2019-12-03,102,Weather related,Storm,Storm
Indonesia,2019,2019-03-09,11,Weather related,Storm,Storm
Indonesia,2019,2019-03-28,14,Weather related,Flood,Flood
United States,2019,2019-05-09,3,Weather related,Flood,Flood
"Taiwan, China",2019,2019-05-20,1,Weather related,Storm,Storm
Afghanistan,2019,2019-04-09,133,Weather related,Mass Movement,Avalanche
Japan,2019,2019-06-18,839,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-05-09,20,Weather related,Mass Movement,Avalanche
United States,2019,2019-06-16,30,Weather related,Storm,Storm
Indonesia,2019,2019-02-11,4,Weather related,Flood,Flood
Nepal,2019,2019-02-15,8,Weather related,Storm,Storm
Israel,2019,2019-05-23,500,Weather related,Wildfire,Wildfire
United States,2019,2019-05-19,10,Weather related,Storm,Tornado
Indonesia,2019,2019-02-11,14,Weather related,Storm,Storm
United States,2019,2019-05-10,13,Weather related,Flood,Flood
Afghanistan,2019,2019-04-10,7,Weather related,Flood,Flood
Argentina,2019,2019-06-17,250,Weather related,Flood,Flood
Indonesia,2019,2019-05-11,62,Weather related,Flood,Flood
Brazil,2019,2019-01-01,173,Weather related,Flood,Flood
United States,2019,2019-06-15,91,Weather related,Storm,Tornado
Nepal,2019,2019-02-16,4,Weather related,Storm,Storm
Brazil,2019,2019-01-01,80,Weather related,Storm,Storm
Brazil,2019,2019-01-01,528,Weather related,Drought,Drought
Türkiye,2019,2019-03-20,7,Geophysical,Earthquake,Earthquake
Brazil,2019,2019-03-01,2877,Weather related,Flood,Flood
Indonesia,2019,2019-03-17,7840,Weather related,Storm,Storm
Indonesia,2019,2019-03-29,14,Weather related,Storm,Storm
United States,2019,2019-05-08,3,Weather related,Wildfire,Wildfire
Afghanistan,2019,2019-04-10,3239,Weather related,Flood,Flood
Afghanistan,2019,2019-04-17,7,Weather related,Extreme Temperature,Cold wave
Indonesia,2019,2019-05-12,178,Weather related,Mass Movement,Avalanche
United States,2019,2019-06-20,200,Weather related,Wildfire,Wildfire
Nepal,2019,2019-02-28,4,Weather related,Storm,Storm
Indonesia,2019,2019-03-17,96,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-28,80,Weather related,Storm,Storm
Indonesia,2019,2019-04-27,14,Weather related,Mass Movement,Avalanche
Angola,2019,2019-02-21,200,Weather related,Flood,Flood
Papua New Guinea,2019,2019-05-14,300,Geophysical,Earthquake,Earthquake
Haiti,2019,2019-06-03,69,Weather related,Storm,Storm
Afghanistan,2019,2019-04-13,148,Weather related,Flood,Flood
Canada,2019,2019-05-11,30,Weather related,Wildfire,Wildfire
Indonesia,2019,2019-05-14,100,Weather related,Flood,Flood
Indonesia,2019,2019-03-29,19,Weather related,Storm,Storm
Indonesia,2019,2019-03-19,7,Weather related,Storm,Storm
Indonesia,2019,2019-04-25,7,Weather related,Storm,Storm
Indonesia,2019,2019-05-14,189,Weather related,Flood,Flood
United States,2019,2019-05-24,150,Weather related,Flood,Flood
Canada,2019,2019-05-19,87,Weather related,Wildfire,Wildfire
Serbia,2019,2019-06-24,12,Weather related,Flood,Flood
Indonesia,2019,2019-06-20,240,Geophysical,Earthquake,Earthquake
Brazil,2019,2019-01-01,200,Weather related,Storm,Storm
Brazil,2019,2019-03-01,94,Weather related,Flood,Flood
Afghanistan,2019,2019-04-17,111,Weather related,Flood,Flood
Central African Republic,2019,2019-05-09,640,Weather related,Flood,Flood
Indonesia,2019,2019-03-27,5,Weather related,Storm,Storm
Indonesia,2019,2019-03-15,4,Weather related,Storm,Storm
Indonesia,2019,2019-04-22,4,Weather related,Wave action,Rogue Wave
United States,2019,2019-05-18,5,Weather related,Storm,Tornado
United States,2019,2019-05-22,2400,Weather related,Flood,Flood
Afghanistan,2019,2019-04-24,1480,Weather related,Flood,Flood
Indonesia,2019,2019-05-15,405,Weather related,Flood,Flood
Mauritius,2019,2019-02-06,142,Weather related,Storm,Typhoon/Hurricane/Cyclone
Nepal,2019,2019-04-06,30,Weather related,Storm,Storm
Myanmar,2019,2019-01-01,3,Weather related,Mass Movement,Landslide/Wet mass movement
India,2019,2019-06-12,289000,Weather related,Storm,Typhoon/Hurricane/Cyclone
Indonesia,2019,2019-03-26,1747,Weather related,Flood,Flood
Indonesia,2019,2019-04-18,7,Weather related,Storm,Storm
United States,2019,2019-05-19,143,Weather related,Storm,Storm
Bolivia,2019,2019-04-30,778,Weather related,Mass Movement,Avalanche
Colombia,2019,2019-02-22,37,Weather related,Flood,Flood
Afghanistan,2019,2019-04-15,976,Weather related,Flood,Flood
Afghanistan,2019,2019-04-29,30,Weather related,Flood,Flood
Ecuador,2019,2019-06-17,615,Weather related,Flood,Flood
Nepal,2019,2019-04-09,529,Weather related,Storm,Storm
New Zealand,2019,2019-06-25,3,Geophysical,Volcanic activity,Volcanic activity
Brazil,2019,2019-12-28,36,Weather related,Storm,Storm
Indonesia,2019,2019-02-11,4,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-04-17,4,Weather related,Storm,Storm
Indonesia,2019,2019-03-12,4,Weather related,Storm,Storm
Brazil,2019,2019-09-13,5,Weather related,Wildfire,Wildfire
Indonesia,2019,2019-02-15,4,Weather related,Storm,Storm
Indonesia,2019,2019-03-13,4,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-04-09,4,Weather related,Storm,Storm
Peru,2019,2019-01-23,113,Weather related,Mass Movement,Avalanche
Afghanistan,2019,2019-04-16,133,Weather related,Flood,Flood
Indonesia,2019,2019-04-08,4,Weather related,Storm,Storm
Kenya,2019,2019-05-20,150,Weather related,Flood,Flood
Afghanistan,2019,2019-05-07,52,Weather related,Flood,Flood
Sri Lanka,2019,2019-04-24,97,Weather related,Storm,Storm
South Sudan,2019,2019-05-20,10,Weather related,Flood,Flood
Nepal,2019,2019-04-14,9,Weather related,Flood,Flood
United States,2019,2019-03-13,2593,Weather related,Flood,Flood
United States,2019,2019-04-30,8,Weather related,Storm,Storm
United States,2019,2019-03-13,20,Weather related,Flood,Flood
Sweden,2019,2019-04-23,47,Weather related,Wildfire,Wildfire
Brazil,2019,2019-11-26,200,Weather related,Mass Movement,Landslide/Wet mass movement
